Acrigel iPhone 7,3,6,130,65,100,30,0,0,1,0,0,
Acrigel soporte Huawei Honor X7a,3,6,200,120,170,70,5,0,0,0,1,
Acrigel soporte iPhone 11,3,6,200,120,170,70,1,0,0,0,3,
Acrigel soporte iPhone 14,3,6,200,120,170,70,4,0,0,0,1,
Acrigel soporte iPhone XR,3,6,200,120,170,70,3,0,0,0,1,
Acrigel soporte MOTO E22 E22i,3,6,200,120,170,70,2,0,0,0,0,
Acrigel soporte MOTO G53,3,6,200,120,170,70,2,0,0,0,0,
Acrigel soporte MOTO G72,3,6,200,120,170,70,4,0,0,0,0,
Acrigel soporte Oppo A17,3,6,200,120,170,70,2,0,0,0,2,
Acrigel soporte Samsung A04e,3,6,200,120,170,70,1,1,0,0,0,
Acrigel soporte Samsung A14,3,6,200,120,170,70,1,1,0,0,0,
Acrigel soporte Samsung A14 5g,3,6,200,120,170,70,0,1,0,0,0,
Acrigel soporte Samsung A24,3,6,200,120,170,70,1,0,0,0,1,
Acrigel soporte Samsung A34,3,6,200,120,170,70,3,0,0,0,0,
Acrigel soporte Xiaomi A1,3,6,200,120,170,70,3,0,0,0,0,
Acrigel Huawei Honor X7a,3,6,130,70,100,30,2,0,0,0,0,
Acrigel Huawei Mate 20 lite,3,6,130,70,100,30,0,0,1,0,2,
Acrigel Huawei Nova 5T ,3,6,130,65,100,30,0,0,0,0,7,
Acrigel Huawei Nova 9SE,3,6,130,65,100,30,1,0,1,0,0,
Acrigel Huawei Y60 Y70,3,6,130,65,100,30,1,1,1,0,9,
Acrigel Huawei Y6s 2019,3,6,130,65,100,30,1,1,0,0,2,
Acrigel Huawei Y7A,3,6,130,65,100,30,2,0,0,0,3,
Acrigel iPhone 11,3,6,130,65,100,30,0,0,1,0,7,
Acrigel iPhone 12 mini,3,6,130,65,100,30,2,0,0,0,9,
Acrigel iPhone 13 pro,3,6,130,65,100,30,1,1,0,0,8,
Acrigel iPhone 14 max,3,6,130,65,100,30,0,1,0,0,0,
Acrigel iPhone 14 pro,3,6,130,65,100,30,1,0,0,0,7,
Acrigel iPhone 14 pro max,3,6,130,65,100,30,0,1,0,0,9,
Acrigel iPhone 6 ,3,6,130,65,100,30,0,1,1,0,3,
Acrigel iPhone 6 plus,3,6,130,65,100,30,1,2,1,0,2,
Acrigel iPhone 7 8 plus,3,6,130,65,100,30,0,0,1,0,0,
Acrigel iPhone X XS,3,6,130,65,100,30,0,0,0,0,1,
Acrigel LG k51s,3,6,180,65,100,30,0,1,0,0,0,
Acrigel mate Huawei Y9 prime,3,6,200,100,150,50,1,1,0,0,12,
Acrigel mate iPhone 11,3,6,200,100,130,35,2,1,0,0,0,
Acrigel mate iPhone XR,4,6,200,80,130,35,1,0,0,0,6,
Acrigel Mate Huawei Honor X6,3,6,200,100,150,50,3,0,1,0,0,
Acrigel Mate Huawei Honor X8A,3,6,200,100,150,50,0,1,0,0,0,
Acrigel Mate Huawei Honor X9A,3,6,200,100,150,50,0,2,0,0,0,
Acrigel Mate Huawei Y9s,3,6,200,100,150,50,0,1,0,0,0,
Acrigel Mate iPhone 11,3,6,180,80,130,50,0,0,2,0,0,
Acrigel Mate iPhone 12,3,6,180,80,130,50,0,1,1,0,10,
Acrigel Mate iPhone 13 pro max,3,6,200,120,150,50,4,1,1,0,5,
Acrigel Mate iPhone 14,3,6,200,120,150,50,2,3,0,0,0,
Acrigel Mate iPhone 14 pro,3,6,200,120,150,50,1,0,0,0,0,
Acrigel Mate iPhone 7 8 plus,3,6,200,120,150,50,0,1,1,0,2,
Acrigel Mate iPhone XR,3,6,180,80,130,50,3,0,0,0,3,
